ensembl_gene_id,mgi_id,mgi_symbol,transcript_length,chromosome_name,start_position,end_position,external_gene_name,name,symbol,min_expression_in_il4_or_lps,stdev_il,avera_il,aver_lps,ave_pbs,IL4-PBS_logFC,IL4-PBS_AveExpr,IL4-PBS_t,IL4-PBS_P.Value,IL4-PBS_adj.P.Val,IL4-PBS_B,IL4-LPS_logFC,IL4-LPS_AveExpr,IL4-LPS_t,IL4-LPS_P.Value,IL4-LPS_adj.P.Val,IL4-LPS_B,LPS-PBS_logFC,LPS-PBS_AveExpr,LPS-PBS_t,LPS-PBS_P.Value,LPS-PBS_adj.P.Val,LPS-PBS_B,IL4_1001_CRC38m,IL4_1003_CRC38m,IL4_830_CRC38m,IL4_901_CRC38m,IL4_903_CRC38m,IL4_904_CRC38m,IL4_910_CRC38m,IL4_930_CRC38m,LPS_1101_CRC38m,LPS_1103_CRC38m,LPS_1110_CRC38m,LPS_1130_CRC38m,LPS_703_CRC38m,PBS_1004_CRC38m,PBS_1010_CRC38m,PBS_604RS_CRC38m,PBS_630_CRC38m
ENSMUSG00000027399,MGI:96542,Il1a,1974,2,129299610,129309972,Il1a,interleukin 1 alpha,Il1a,1,0.324555721,0.01989728,1.424725138,0.177173619,-0.137348944,0.470088141,-0.612918071,0.547355265,0.999880263,-4.654033152,-1.399905563,0.470088141,-7.61878167,3.95E-07,0.000660077,6.733405985,1.262556619,0.470088141,5.77561096,1.58E-05,0.063708563,3.197783559,0.415723693,0.305002912,0.007483459,-0.071199831,0.336997847,-0.249389912,-0.045322599,-0.540117329,1.260069805,1.676928084,1.666548009,1.230935131,1.289144661,-0.24915295,0.842869426,0.358381848,-0.243403849
ENSMUSG00000035004,MGI:1891393,Igsf6,2175,7,121064067,121074572,Igsf6,"immunoglobulin superfamily, member 6",Igsf6,1,0.395689089,0.637074635,2.958357453,0.914025131,-0.235380316,1.384969698,-0.598176848,0.556939189,0.999880263,-4.674262563,-2.308167709,1.384969698,-7.56265235,4.39E-07,0.000660077,6.580495588,2.072787394,1.384969698,5.677281511,1.94E-05,0.064534027,2.992669024,1.369238791,0.617712476,0.582321743,0.653434961,0.984275553,0.150413074,0.536649859,0.202550624,2.80346025,3.356721925,3.31775008,2.727308328,2.586546681,0.532378197,2.830473879,0.134838493,0.158409955
ENSMUSG00000028976,MGI:1928369,Slc2a5,3158,4,150119283,150144169,Slc2a5,"solute carrier family 2 (facilitated glucose transporter), member 5",Slc2a5,1,0.129555313,1.8520705,0.267889159,1.694719767,0.138070258,1.34911111,0.753651702,0.460496661,0.999880263,-4.676896987,1.563185117,1.34911111,7.530484942,4.67E-07,0.000660077,6.571035304,-1.42511486,1.34911111,-6.106816253,7.87E-06,0.055838963,3.857633865,2.042305283,1.852732506,1.810508128,1.814388379,1.614778838,1.847314171,1.835648817,1.998887881,0.299304968,-0.19142791,0.5551869,-0.196629467,0.873011305,2.120993092,0.968857363,1.823450225,1.865578388
ENSMUSG00000022148,MGI:1346327,Fyb,2669,15,6522853,6663313,Fyb,FYN binding protein,Fyb,1,0.257765364,1.59981752,3.507252289,1.976659855,-0.345761723,2.249496531,-1.113089529,0.279854329,0.999880263,-4.586866321,-1.900186238,2.249496531,-7.514838585,4.81E-07,0.000660077,6.418499517,1.554424515,2.249496531,5.253603062,4.85E-05,0.084876418,2.040850711,1.943257914,1.561128948,1.382887499,1.803269287,1.831337466,1.19118268,1.665419674,1.42005669,3.242791814,3.749358,3.742162132,3.302907446,3.499042056,1.753202471,3.512172166,1.692681868,0.948582914
ENSMUSG00000042349,MGI:1929612,Ikbke,3251,1,131254343,131279606,Ikbke,inhibitor of kappaB kinase epsilon,Ikbke,1,0.299768263,0.856667261,2.375559467,1.320370286,-0.438734861,1.412506857,-1.843442078,0.081264429,0.999880263,-4.368066163,-1.512131567,1.412506857,-7.507891059,4.87E-07,0.000660077,6.485393984,1.073396706,1.412506857,4.647563805,0.000184985,0.095353753,0.81413073,0.775162583,0.993375737,0.469663942,0.913370128,1.398261142,0.861416874,0.475509564,0.966578115,2.060694036,2.741324749,2.448956574,2.293980463,2.332841513,0.810871822,2.317678032,1.106349936,1.046581353
ENSMUSG00000076609,MGI:96495,Igkc,532,6,70726435,70726966,Igkc,NA,NA,1,1.518710888,-0.217351426,6.465485839,3.067986498,-3.250900148,2.521209634,-3.271286558,0.004104689,0.999880263,-3.805827556,-6.717379121,2.521209634,-7.498049281,4.96E-07,0.000660077,6.474853574,3.466478973,2.521209634,4.947376199,9.50E-05,0.094103656,1.251065244,0.343573907,2.343537513,0.066780643,-1.596041339,-2.011524458,-0.840426927,1.320728049,-1.365438798,6.236029079,5.637532659,5.360207535,6.987130921,8.106528999,0.810871822,5.706513978,2.69405,3.060510192
ENSMUSG00000050350,MGI:107859,Gpr18,1498,14,121911253,121915781,Gpr18,G protein-coupled receptor 18,Gpr18,0,0.814098093,-6.733273486,-1.827988325,-5.394805595,-1.305806978,-4.975608935,-1.458599229,0.161362604,0.999880263,-4.588512836,-4.918089972,-4.975608935,-7.48381379,5.10E-07,0.000660077,4.247953421,3.612282994,-4.975608935,5.062440202,7.37E-05,0.094103656,0.154945252,-7.263756407,-6.989617837,-7.152387878,-7.210751183,-5.115861118,-7.144207675,-5.791276977,-7.198328812,-2.022623127,-2.558798975,-1.486982554,-1.922454503,-1.149082466,-4.336615791,-2.552193374,-7.348977284,-7.341435932
ENSMUSG00000044827,MGI:1341295,Tlr1,3025,5,64924679,64933563,Tlr1,toll-like receptor 1,Tlr1,1,0.532221446,-0.173710475,1.894861306,0.228562773,-0.359013232,0.529345519,-1.041000896,0.311223432,0.999880263,-4.595829648,-2.059171517,0.529345519,-7.461600635,5.32E-07,0.000660077,6.441915085,1.700158285,0.529345519,5.282575026,4.55E-05,0.084876418,2.20520888,0.661056097,-0.119253118,-0.033446805,-0.416335317,0.169541101,-0.429962158,-0.045322599,-1.175960999,1.622639884,2.047643253,2.194523887,1.760810071,1.848689433,-0.517856105,1.683533686,0.034727009,-0.286153497
ENSMUSG00000006219,MGI:1921452,Fblim1,3101,4,141576062,141606096,Fblim1,filamin binding LIM protein 1,Fblim1,1,0.314375363,1.0380995,2.324779426,1.691050335,-0.633993086,1.570170263,-3.2509091,0.00429559,0.999880263,-3.792721263,-1.281470814,1.570170263,-7.435997785,5.58E-07,0.000660077,6.344253766,0.647477728,1.570170263,3.36707154,0.003313245,0.231636484,-1.981748525,1.591111977,0.70386912,0.982038443,1.400273614,0.984275553,0.707541366,1.062552375,0.87313355,1.944005415,2.485595144,2.47115232,2.216309567,2.506834682,1.329509563,2.194119393,1.326979749,1.913592637
ENSMUSG00000047180,MGI:2429944,Neurl3,2598,1,36264597,36274679,Neurl3,neuralized E3 ubiquitin protein ligase 3,Neurl3,1,0.371675507,0.601580557,2.38120368,1.328414489,-0.710223153,1.296018872,-2.522485888,0.020950959,0.999880263,-4.140794984,-1.782050619,1.296018872,-7.416457968,5.80E-07,0.000660077,6.323329441,1.071827466,1.296018872,4.006680068,0.000782802,0.132341572,-0.575314993,1.02626244,0.557276623,0.454942436,0.653434961,1.041991051,0.707541366,-0.137834738,0.50903032,2.346043028,2.705737456,2.448956574,1.892805617,2.512475726,1.310442831,2.44238635,0.977452203,0.583376571
ENSMUSG00000020573,MGI:1353576,Pik3cg,5871,12,32173473,32208659,Pik3cg,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Pik3cg,1,0.198985289,1.170628635,2.234761664,1.527275789,-0.347058334,1.567525915,-2.095017749,0.05010982,0.999880263,-4.257781711,-1.068997003,1.567525915,-7.405249891,5.92E-07,0.000660077,6.284039667,0.721938669,1.567525915,4.344748778,0.000364917,0.110472623,0.150632777,1.309890781,1.318721193,1.375089128,1.244576037,1.089687793,0.861416874,1.271218949,0.894428329,2.191577512,2.213086603,2.268810311,2.065938877,2.434395017,1.433038422,2.159301533,1.461594351,1.055168849
ENSMUSG00000002699,MGI:1321402,Lcp2,3644,11,34046920,34092295,Lcp2,lymphocyte cytosolic protein 2,Lcp2,1,0.234480901,1.283765678,2.445795135,1.607202823,-0.314104043,1.701641906,-1.721233787,0.101805915,0.999880263,-4.390391569,-1.161167326,1.701641906,-7.39874347,5.99E-07,0.000660077,6.258430808,0.847063283,1.701641906,4.658696297,0.000180441,0.095353753,0.818101644,1.216023857,1.432446929,0.929761164,1.734692653,1.252208759,1.11788717,1.313758494,1.273346402,2.335786859,2.778912117,2.429656018,2.212103456,2.472517226,1.588856231,2.281708703,1.395856554,1.162389806
ENSMUSG00000003617,MGI:88476,Cp,4504,3,19957054,20009145,Cp,ceruloplasmin,Cp,1,0.203596955,3.495756273,4.760456893,3.830035352,-0.3264758,3.946380945,-1.669079096,0.111853319,0.999880263,-4.306073444,-1.269311017,3.946380945,-7.359263997,6.46E-07,0.000680791,5.949142286,0.942835217,3.946380945,4.719136386,0.000157678,0.094103656,0.700972502,3.485274975,3.772764201,3.497766336,3.358154971,3.565728699,3.604823707,3.086262795,3.595274497,4.479747842,5.223871683,4.96492703,4.38038943,4.753348482,3.42936089,4.564254562,3.464002187,3.862523771
ENSMUSG00000035373,MGI:99512,Ccl7,801,11,82045712,82047525,Ccl7,chemokine (C-C motif) ligand 7,Ccl7,0,1.31553135,-4.625517983,-1.292467661,-2.360349673,-2.254555627,-3.112228286,-4.406626257,0.000317484,0.999880263,-4.430450522,-3.31786009,-3.112228286,-7.318823069,6.98E-07,0.000704931,5.238929797,1.063304463,-3.112228286,2.709530671,0.014080112,0.342353805,-2.857742598,-3.563316688,-3.530186219,-5.567425377,-3.123288342,-5.115861118,-7.144207675,-4.568884555,-4.39097389,-1.82558628,-0.544443682,-1.39234568,-1.141767532,-1.558195131,-2.75165329,-2.066766547,-2.490996289,-2.131982567
ENSMUSG00000026880,MGI:95403,Stom,2787,2,35313986,35336976,Stom,stomatin,Stom,1,0.09632537,4.0242868,4.548828525,4.114491097,-0.086843278,4.199788318,-1.096093627,0.2870328,0.999880263,-4.628591517,-0.524364186,4.199788318,-7.296928374,7.28E-07,0.000705761,5.807094809,0.437520908,4.199788318,5.19632124,5.50E-05,0.084876418,1.738251385,3.988317636,4.0931965,3.825607491,4.028250574,4.138222661,4.090011003,3.984058949,4.046629581,4.468838942,4.576653809,4.7353007,4.463242004,4.500107168,3.982805449,4.28826986,4.133326498,4.053562582
ENSMUSG00000038147,MGI:1336885,Cd84,3434,1,171839697,171890718,Cd84,CD84 antigen,Cd84,1,0.229962115,2.15183822,3.820432164,2.445429196,-0.268498765,2.711681374,-0.972316812,0.343373649,0.999880263,-4.636526107,-1.656138523,2.711681374,-7.262129175,7.79E-07,0.000725559,5.88428678,1.387639758,2.711681374,5.175918363,5.75E-05,0.084876418,1.832360658,2.476024203,2.052041314,2.054626443,2.113429363,2.488506782,2.053009018,2.172582431,1.804486203,3.603531061,4.415271392,4.205440861,3.486501165,3.391416339,2.223079951,3.547943297,2.199844625,1.81084891
ENSMUSG00000078942,MGI:1298222,Naip6,6827,13,100281121,100317674,Naip6,"NLR family, apoptosis inhibitory protein 6",Naip6,1,0.419882999,-0.673486234,0.776672923,-0.277007278,-0.374410295,-0.153679669,-1.562650378,0.134995405,0.999880263,-4.511749895,-1.450452895,-0.153679669,-7.207805183,8.65E-07,0.00073557,5.978905645,1.0760426,-0.153679669,4.649382169,0.000184235,0.095353753,0.910041021,-0.124205054,-0.30311731,-1.043863421,-1.020926625,-0.18040137,-0.877421134,-0.66199396,-1.175960999,0.614178306,0.448396526,0.99231817,0.797767827,1.030703784,-0.712124926,0.255161548,-0.129808763,-0.52125697
ENSMUSG00000071203,MGI:1298220,Naip5,5204,13,100211739,100246323,Naip5,"NLR family, apoptosis inhibitory protein 5",Naip5,1,0.216740408,0.9622013,2.168124971,1.151444685,-0.170366568,1.361412588,-0.867928607,0.396498022,0.999880263,-4.637392733,-1.190892966,1.361412588,-7.206992828,8.66E-07,0.00073557,5.916775737,1.020526398,1.361412588,5.237741402,5.02E-05,0.084876418,2.084307208,1.240069331,0.874568307,0.661393314,1.097587847,1.223988885,0.990218645,0.89522355,0.714560524,2.014287563,2.641265886,2.186880451,2.199411042,1.798779911,0.881476493,1.812379059,1.039040001,0.872883188
ENSMUSG00000018654,MGI:1342540,Ikzf1,5163,11,11685003,11772926,Ikzf1,IKAROS family zinc finger 1,Ikzf1,1,0.176102444,2.43861354,3.237868748,2.62515308,-0.175270357,2.717580258,-1.395996996,0.179162712,0.999880263,-4.480840551,-0.793941981,2.717580258,-7.198406502,8.80E-07,0.00073557,5.772890013,0.618671625,2.717580258,4.805531833,0.000130095,0.094103656,1.036393625,2.659571079,2.459530808,2.271778411,2.466968458,2.674650294,2.400756758,2.423042144,2.152610369,3.184926947,3.409291777,3.324732284,3.130879661,3.139513071,2.457800076,3.002395478,2.707660431,2.332756336
ENSMUSG00000018920,MGI:1932682,Cxcl16,2699,11,70453983,70459984,Cxcl16,chemokine (C-X-C motif) ligand 16,Cxcl16,1,0.392532016,0.980667343,3.257573277,1.857842099,-0.840643261,1.856739619,-2.214809194,0.039475302,0.999880263,-4.19860742,-2.274910865,1.856739619,-7.166666508,9.36E-07,0.000741342,5.797071098,1.434267604,1.856739619,4.102065664,0.000630959,0.126332643,-0.445474532,1.693345635,0.849585951,0.772424626,1.177266102,1.27988721,0.905640874,0.758186843,0.409001502,3.021770993,3.730297727,3.392756435,2.607526574,3.535514655,1.444743923,3.567992654,1.056164179,1.362467641
ENSMUSG00000009585,MGI:1933111,Apobec3,2765,15,79891659,79915906,Apobec3,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3",Apobec3,1,0.336254456,1.929462329,3.388858109,2.337451615,-0.387015225,2.454693861,-1.615969317,0.122942299,0.999880263,-4.397670592,-1.454180154,2.454693861,-7.159914412,9.49E-07,0.000741342,5.719372538,1.067164929,2.454693861,4.550288872,0.000229964,0.09738153,0.49316002,2.209949343,2.30729837,1.516497107,1.951640145,2.328739696,1.633869454,1.947941069,1.539763447,3.136509818,3.646749936,3.476648308,3.256689028,3.427693453,2.188687499,3.408503666,1.887036908,1.865578388
ENSMUSG00000024677,MGI:1917024,Ms4a6b,1687,19,11516512,11531256,Ms4a6b,"membrane-spanning 4-domains, subfamily A, member 6B",Ms4a6b,1,0.232815881,-0.071763489,1.215507406,0.447035764,-0.512144567,0.42891601,-2.462719487,0.023744673,0.999880263,-4.260723239,-1.286951675,0.42891601,-7.129112925,1.01E-06,0.000751259,5.825583412,0.774807108,0.42891601,3.798859593,0.001252471,0.158039635,-0.915941988,-0.044587886,0.065664598,-0.257570114,-0.011078839,-0.31884814,0.150413074,0.245812342,-0.403912946,0.919032887,1.73103549,1.270619333,0.874292319,1.282557001,0.441826439,1.008521581,0.330502816,0.007292222
ENSMUSG00000057596,MGI:3035181,Trim30d,3282,7,104470014,104507849,Trim30d,tripartite motif-containing 30D,Trim30d,1,0.305539148,1.049083548,2.237144945,1.426743677,-0.369525786,1.487374577,-1.910574221,0.071605173,0.999880263,-4.335110569,-1.18893485,1.487374577,-7.120855027,1.02E-06,0.000751259,5.744293366,0.819409064,1.487374577,4.263170216,0.000438565,0.117909858,-0.019819744,1.460757446,1.372325936,1.012519049,0.933907059,1.245205371,1.070111446,0.595304076,0.702537996,2.335786859,2.424878719,2.532749511,2.004031573,1.888278062,1.119168051,1.915086107,1.518301456,1.154419094
ENSMUSG00000022146,MGI:1330819,Osmr,5491,15,6813577,6874969,Osmr,oncostatin M receptor,Osmr,1,0.213061963,2.177037361,3.415015441,2.355178694,-0.159396097,2.583064169,-0.773442008,0.448983475,0.999880263,-4.690448039,-1.227106671,2.583064169,-7.071020465,1.13E-06,0.000770137,5.528447831,1.067710574,2.583064169,5.207103034,5.37E-05,0.084876418,1.918560751,2.385499771,2.172773491,2.020039631,2.081570449,2.509117062,1.897451476,2.336287523,2.013559482,3.10061507,3.785319359,3.711857835,3.234049983,3.243234957,2.321595692,3.164797521,1.924818315,2.009503249
ENSMUSG00000004609,MGI:99440,Cd33,5728,7,43524216,43544428,Cd33,CD33 antigen,Cd33,1,0.309464204,3.359110599,4.352838579,3.507476512,-0.135822701,3.686293161,-0.845591861,0.408531334,0.999880263,-4.714399278,-0.986688367,3.686293161,-7.030821277,1.22E-06,0.000770137,5.326411212,0.850865666,3.686293161,5.159610102,5.96E-05,0.084876418,1.702040505,3.121027343,3.544685045,3.372153837,3.586099612,3.829582718,2.949870011,3.466896434,3.002569793,4.438806408,4.428066997,4.445357333,4.39159126,4.0603709,3.283807705,3.907893866,3.637575866,3.20062861
ENSMUSG00000021356,MGI:1096873,Irf4,4764,13,30749226,30766976,Irf4,interferon regulatory factor 4,Irf4,0,0.432834996,-2.116332768,-0.293545819,-1.576691685,-0.536321747,-1.453244587,-1.68947785,0.10782685,0.999880263,-4.534905451,-1.830378799,-1.453244587,-7.02716937,1.23E-06,0.000770137,5.538375838,1.294057052,-1.453244587,4.435001339,0.000297864,0.099660685,0.437911294,-1.978354188,-1.780164472,-2.397500375,-2.352770188,-2.682901711,-2.500351485,-1.821650626,-1.416969099,-0.368947876,-0.694860525,-0.861830963,0.384600315,0.073309955,-1.725181079,-1.173681751,-1.621056829,-1.786847081
ENSMUSG00000000290,MGI:96611,Itgb2,2970,10,77530252,77565708,Itgb2,integrin beta 2,Itgb2,1,0.233011746,2.084398932,3.480937256,2.570446242,-0.473061077,2.609509571,-2.049035192,0.05484022,0.999880263,-4.180953242,-1.395962723,2.609509571,-7.01945912,1.25E-06,0.000770137,5.429104648,0.922901646,2.609509571,4.062751284,0.000689593,0.13052169,-0.603921991,2.605066148,2.073777244,2.130700475,2.001137111,2.111032696,1.886459461,2.018223217,1.8487951,3.110675745,3.995175833,3.605505854,2.983202493,3.710126355,2.566261742,3.374754874,2.148874553,2.1918938
ENSMUSG00000022912,MGI:1095733,Pros1,3303,16,62854307,62929346,Pros1,protein S (alpha),Pros1,1,0.155213669,3.82191022,4.529254537,4.013416043,-0.185947991,4.07501286,-1.673453857,0.11097914,0.999880263,-4.295248345,-0.703602517,4.07501286,-7.018655788,1.25E-06,0.000770137,5.268109411,0.517654525,4.07501286,4.431385516,0.000300294,0.099660685,0.056512694,3.870028003,3.879976006,3.841258182,3.862720971,4.120153074,3.663952098,3.667471386,3.669722042,4.380128994,4.766371537,4.767045159,4.43825192,4.294475073,3.837200126,4.208559834,3.981379433,4.026524777
ENSMUSG00000035778,MGI:95704,Ggta1,3606,2,35400179,35463231,Ggta1,"glycoprotein galactosyltransferase alpha 1, 3",Ggta1,1,0.224946238,2.714564926,3.914658605,2.85646293,-0.122097243,3.100921421,-0.606884308,0.55126739,0.999880263,-4.752736954,-1.19571584,3.100921421,-7.012790803,1.26E-06,0.000770137,5.352744701,1.073618597,3.100921421,5.319419118,4.20E-05,0.084876418,2.10846061,2.665502002,2.786815195,2.507608015,2.901688323,3.149988303,2.47601215,2.647514876,2.581390543,3.610637948,4.259335785,4.197855198,3.534452714,3.97101138,2.555505346,3.618532902,2.488650649,2.763162821
ENSMUSG00000030560,MGI:109553,Ctsc,3220,7,88278085,88310888,Ctsc,cathepsin C,Ctsc,1,0.229863534,3.380713148,4.492593691,3.681653232,-0.284500345,3.778546269,-1.588630919,0.129003953,0.999880263,-4.359160003,-1.107379011,3.778546269,-7.009537677,1.27E-06,0.000770137,5.276728213,0.822878666,3.778546269,4.49185958,0.000262158,0.099660685,0.214714023,3.303248964,3.412328287,3.42787069,3.218655558,3.897042715,3.378373856,3.152214633,3.255970481,4.34646879,4.75408398,4.768326131,4.300433264,4.293656291,3.308041674,4.413590911,3.51907357,3.485906772
ENSMUSG00000046245,MGI:2450529,Pilra,2578,5,137821952,137836281,Pilra,paired immunoglobin-like type 2 receptor alpha,Pilra,1,0.609954646,-1.260743107,0.810103044,-0.660057879,-0.591233147,-0.510333009,-1.616594284,0.122806588,0.999880263,-4.517210851,-2.0914757,-0.510333009,-6.996474478,1.30E-06,0.000770834,5.577532208,1.500242552,-0.510333009,4.472380315,0.000273875,0.099660685,0.548073511,-1.978354188,-0.450459026,-0.962563319,-1.42939147,-1.709868758,-1.035683218,-0.530749427,-1.988875447,0.669673418,0.982220178,0.983521222,0.307843116,1.107257287,-0.765073806,0.655699478,-1.120158593,-1.410698595
